한옥집 김치찜 본점,서울특별시 서대문구 냉천동 20-1 1층 한옥집김치찜,음식점>한식,,http://hanokjib.co.kr/community/media/
굴다리식당,서울특별시 마포구 도화동 181-45,음식점>한식,,
오모리찌개 잠실본점,서울특별시 송파구 석촌동 183-3,"한식>찌개,전골",,http://omori.co.kr/
김북순큰남비집 신사본점,서울특별시 강남구 신사동 522,음식점>한식,,
은주정,서울특별시 중구 주교동 43-23,"한식>찌개,전골",,http://m.smartstore.naver.com/ssamkimchi
